,Unnamed: 0,run,lumi,hname,metype,entries,xmax,xmin,xbins,ymax,ymin,ybins,good,good_pixel,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100,bin_101,y_pred,y
115,19437,297606,101,chargeInner_PXLayer_1,3,99816,80000.0,0.0,100,1.0,0.0,1,1,1,0,20,111,229,316,389,486,541,630,731,874,976,1196,1369,1518,1832,2040,2333,2602,2913,3138,3328,3546,3598,3809,3768,3836,3766,3881,3639,3598,3506,3310,3070,2911,2653,2383,2155,1983,1735,1640,1358,1240,1124,948,794,722,728,560,535,451,379,417,329,303,288,248,214,209,181,170,153,135,134,130,86,109,81,86,84,71,67,52,61,63,49,45,43,51,48,31,22,33,35,23,33,24,24,22,23,17,17,21,19,15,26,11,11,17,13,13,261,0.7912491,2
116,19439,297606,194,chargeInner_PXLayer_1,3,103427,80000.0,0.0,100,1.0,0.0,1,1,1,0,21,104,222,303,384,474,579,660,717,885,1007,1155,1463,1701,1921,2230,2442,2760,2965,3175,3458,3648,3733,3835,4010,4010,3962,3933,3928,3732,3707,3342,3120,2984,2705,2487,2274,2105,1803,1606,1378,1265,1146,984,835,727,712,636,532,443,428,397,353,290,287,259,230,212,200,174,174,158,135,127,104,97,94,96,65,67,60,67,62,68,75,60,42,48,55,43,46,25,37,35,26,30,30,22,28,17,28,23,22,21,8,19,9,9,13,11,233,0.75001854,2
117,19441,297606,196,chargeInner_PXLayer_1,3,99195,80000.0,0.0,100,1.0,0.0,1,1,1,0,23,121,222,301,385,470,546,624,681,868,1014,1202,1357,1641,1953,2062,2360,2601,2935,3057,3411,3444,3598,3679,3872,3804,3754,3709,3710,3638,3407,3178,3113,2818,2685,2367,2199,1955,1711,1556,1429,1269,1053,938,879,735,615,551,500,439,381,349,306,270,261,227,225,199,165,153,163,126,143,132,111,105,76,78,72,68,50,69,53,55,61,40,42,45,36,40,34,33,33,32,25,34,29,16,19,22,18,15,12,14,15,12,16,11,10,15,240,0.53558815,2
118,19442,297606,197,chargeInner_PXLayer_1,3,94657,80000.0,0.0,100,1.0,0.0,1,1,1,0,22,118,184,297,395,416,485,583,727,795,960,1102,1325,1491,1717,1977,2240,2490,2693,2914,3140,3352,3437,3613,3698,3617,3633,3711,3475,3462,3350,3065,2993,2785,2477,2366,2079,1870,1639,1456,1300,1125,1015,866,792,687,627,549,481,427,377,324,314,277,266,227,203,194,158,129,161,154,107,94,99,105,81,87,75,75,64,66,59,48,53,37,49,44,40,35,39,33,34,23,15,27,16,23,10,22,21,23,12,17,8,18,9,8,10,11,258,0.760532,2
119,19443,297606,198,chargeInner_PXLayer_1,3,100226,80000.0,0.0,100,1.0,0.0,1,1,1,0,21,115,218,302,388,480,553,627,777,858,925,1194,1441,1598,1856,2074,2343,2603,2913,3208,3262,3437,3736,3683,3887,3925,3883,3884,3688,3643,3373,3361,3036,2930,2658,2440,2224,1984,1857,1520,1406,1214,1115,901,833,767,714,553,503,450,381,356,363,286,236,243,222,204,191,151,174,138,121,98,113,124,78,88,86,44,73,57,63,51,61,63,53,60,41,31,35,30,28,23,16,22,36,22,28,20,10,18,13,14,11,21,10,9,14,11,224,0.7520929,2
120,19444,297606,199,chargeInner_PXLayer_1,3,98804,80000.0,0.0,100,1.0,0.0,1,1,1,0,31,111,227,296,413,456,596,608,754,853,1007,1141,1328,1646,1799,2114,2331,2660,2894,3096,3344,3409,3610,3654,3795,3729,3795,3697,3641,3626,3358,3219,3058,2938,2684,2433,2130,1982,1774,1546,1347,1170,1051,913,852,746,668,589,493,457,386,358,314,267,264,205,208,215,173,153,153,134,132,123,90,90,91,95,80,69,69,65,60,46,40,36,36,46,37,38,38,29,37,36,14,27,22,18,14,21,15,10,14,9,16,19,16,15,13,9,270,0.58178806,2
121,19445,297606,200,chargeInner_PXLayer_1,3,100776,80000.0,0.0,100,1.0,0.0,1,1,1,0,13,107,204,311,386,459,498,681,746,808,962,1175,1375,1622,1845,2159,2378,2670,2976,3114,3405,3509,3600,3628,3825,3933,3987,3715,3948,3648,3528,3388,3102,2910,2647,2490,2231,1954,1713,1612,1434,1186,1070,930,828,759,690,591,545,442,406,346,341,305,259,249,220,209,176,180,181,141,129,137,115,102,76,98,67,87,73,61,51,53,56,57,57,44,35,36,37,23,32,33,22,27,29,15,25,18,24,23,20,16,12,17,14,18,15,18,254,0.8461724,2
122,19446,297606,201,chargeInner_PXLayer_1,3,96104,80000.0,0.0,100,1.0,0.0,1,1,1,0,23,93,211,300,364,455,515,604,703,871,971,1127,1335,1525,1756,2038,2363,2569,2763,3015,3166,3339,3546,3563,3710,3766,3683,3639,3566,3421,3237,3126,3052,2787,2502,2333,2020,1895,1662,1492,1336,1215,1064,870,822,736,638,548,499,411,387,339,328,277,253,242,216,209,169,170,149,154,129,115,112,89,102,95,71,89,67,56,54,55,61,45,48,45,46,36,33,29,36,31,27,32,32,17,22,20,13,10,12,16,19,21,11,14,17,10,229,0.5937838,2
123,20323,297606,108,chargeInner_PXLayer_1,3,102007,80000.0,0.0,100,1.0,0.0,1,1,1,0,31,118,253,311,422,479,548,635,722,911,1002,1170,1448,1546,1869,2106,2471,2703,2908,3303,3432,3570,3750,3735,3915,3829,3847,3835,3753,3701,3526,3459,3180,2964,2734,2496,2248,2099,1732,1575,1361,1219,1143,960,817,778,645,605,535,449,400,392,342,311,286,223,229,225,202,170,141,132,137,134,118,108,99,87,75,92,71,62,62,53,49,46,45,34,48,35,34,36,31,40,31,33,37,20,18,30,22,15,13,19,13,12,20,10,9,17,291,0.7255453,2
124,20324,297606,109,chargeInner_PXLayer_1,3,106845,80000.0,0.0,100,1.0,0.0,1,1,1,0,19,135,238,351,443,530,610,632,763,914,1045,1229,1453,1715,1905,2140,2452,2837,3035,3373,3563,3750,3851,4119,4052,4133,4180,4092,4018,3933,3734,3463,3256,3091,2835,2555,2407,2115,1851,1658,1535,1330,1193,998,902,729,738,600,550,443,442,382,358,314,307,294,230,196,196,179,153,170,121,116,129,108,106,93,76,87,84,60,56,72,58,50,42,43,37,39,39,44,32,30,27,34,35,29,23,21,21,22,30,17,24,12,16,15,6,23,254,0.8039814,2
125,27449,297606,137,chargeInner_PXLayer_1,3,101282,80000.0,0.0,100,1.0,0.0,1,1,1,0,23,108,226,298,401,482,519,662,727,880,1008,1134,1448,1691,1864,2157,2391,2620,2851,3127,3515,3497,3652,3755,3912,3854,3893,3941,3798,3619,3568,3295,3138,2973,2706,2440,2085,1984,1809,1604,1373,1247,1095,960,878,743,660,624,525,437,404,393,342,301,295,263,189,232,191,167,149,153,133,118,114,102,81,88,67,66,64,55,67,55,66,54,41,38,48,34,42,29,33,32,22,25,37,32,32,15,27,18,11,19,24,14,15,10,11,9,258,0.73271346,2
126,27450,297606,138,chargeInner_PXLayer_1,3,106544,80000.0,0.0,100,1.0,0.0,1,1,1,0,17,128,244,319,417,524,586,734,785,882,1089,1202,1470,1730,1992,2278,2537,2747,3068,3288,3580,3741,3869,3986,4075,4089,4132,3939,3873,3753,3642,3581,3172,3146,2882,2600,2390,2099,1891,1714,1521,1332,1184,1037,875,789,678,633,571,466,450,369,368,317,281,254,238,209,180,169,160,143,140,120,129,112,97,74,83,85,65,71,67,64,55,67,53,48,42,45,34,29,25,36,22,35,32,30,23,21,28,23,15,22,17,14,13,12,11,15,255,0.72774464,2
127,27452,297606,140,chargeInner_PXLayer_1,3,102793,80000.0,0.0,100,1.0,0.0,1,1,1,0,23,113,236,329,416,485,555,633,720,872,1060,1181,1468,1642,1948,2154,2488,2778,2910,3125,3407,3615,3668,3798,3964,3930,3943,3904,3848,3776,3562,3471,3120,2946,2676,2505,2270,2102,1830,1588,1424,1327,1124,999,831,794,691,561,508,414,411,388,331,297,246,238,212,205,159,167,166,143,152,128,114,111,92,91,81,71,64,58,67,44,56,50,54,47,31,49,44,37,23,43,26,26,28,23,19,25,22,20,21,21,16,16,14,18,15,11,270,0.71601844,2
128,27453,297606,141,chargeInner_PXLayer_1,3,101747,80000.0,0.0,100,1.0,0.0,1,1,1,0,20,113,196,293,400,494,573,561,769,864,1008,1293,1407,1630,1987,2107,2444,2669,2939,3200,3347,3607,3591,3729,3895,3780,3946,3817,3815,3705,3504,3407,3169,2909,2686,2545,2252,2052,1748,1659,1379,1188,1115,991,855,777,636,576,525,474,465,373,334,261,257,265,232,205,186,185,156,143,131,124,105,109,92,84,69,87,64,60,61,65,60,46,45,48,50,39,37,33,26,23,29,33,19,23,19,28,17,27,14,24,17,22,17,11,12,18,251,0.7656088,2
129,27456,297606,144,chargeInner_PXLayer_1,3,105676,80000.0,0.0,100,1.0,0.0,1,1,1,0,22,126,223,316,407,552,589,694,807,920,1124,1256,1439,1646,1915,2324,2462,2862,3005,3348,3485,3725,3796,3848,4085,4049,4127,4018,3856,3767,3715,3500,3323,3097,2884,2527,2302,2112,1850,1633,1493,1277,1089,1004,884,779,649,610,517,506,414,368,321,308,300,241,243,213,192,162,164,164,139,141,117,105,103,90,69,69,66,61,65,56,50,45,39,37,38,46,34,36,36,41,21,19,25,19,24,20,25,14,22,25,17,9,13,10,11,14,271,0.59918153,2
130,27457,297606,203,chargeInner_PXLayer_1,3,95301,80000.0,0.0,100,1.0,0.0,1,1,1,0,24,104,198,303,356,440,509,622,705,852,970,1122,1287,1596,1866,2027,2329,2540,2796,2930,3180,3413,3490,3617,3575,3563,3715,3702,3612,3443,3250,3122,2846,2756,2558,2299,2067,1810,1696,1522,1309,1120,991,918,739,678,635,554,497,407,390,359,268,289,251,245,199,196,169,164,133,130,94,112,106,89,84,73,67,74,69,53,61,54,43,51,49,35,45,37,29,37,31,40,23,25,29,26,20,21,19,17,15,10,14,16,12,10,10,13,235,0.39880803,2
131,27458,297606,204,chargeInner_PXLayer_1,3,76400,80000.0,0.0,100,1.0,0.0,1,1,1,0,13,79,170,243,319,340,453,474,592,704,753,911,1030,1228,1419,1584,1813,2085,2207,2358,2573,2726,2736,2841,2962,2967,2940,2908,2874,2697,2613,2431,2382,2225,2097,1820,1650,1440,1310,1251,1094,931,851,722,611,588,488,439,391,322,325,273,247,212,207,194,166,153,139,107,102,113,95,89,89,81,82,79,66,44,51,43,40,40,36,38,31,40,38,35,25,28,28,23,23,22,21,10,21,16,15,17,10,9,9,10,9,10,9,8,167,0.5464812,2
132,27459,297606,205,chargeInner_PXLayer_1,3,75847,80000.0,0.0,100,1.0,0.0,1,1,1,0,16,81,166,239,318,377,450,492,577,663,853,928,1085,1200,1435,1630,1774,2042,2193,2330,2525,2720,2841,2906,2846,2988,2863,2844,2744,2827,2691,2493,2238,2213,1969,1817,1654,1467,1365,1171,991,882,763,716,656,558,462,445,370,327,266,260,246,224,185,197,174,146,120,133,112,86,99,82,90,79,57,65,54,55,49,58,33,44,31,37,37,41,30,30,32,18,25,22,25,28,13,26,19,18,7,12,7,16,12,13,14,8,8,8,195,0.19188616,2
133,27461,297606,207,chargeInner_PXLayer_1,3,102279,80000.0,0.0,100,1.0,0.0,1,1,1,0,18,111,219,330,386,482,608,615,768,841,1044,1175,1460,1596,1944,2150,2491,2795,2990,3215,3391,3613,3814,3865,3914,3944,3936,3929,3840,3590,3552,3350,3132,2926,2656,2384,2234,2057,1793,1532,1398,1297,1145,957,871,720,659,553,483,446,406,344,311,306,275,283,228,223,208,165,157,158,149,140,124,99,92,83,65,77,71,71,53,53,56,50,46,42,36,27,38,28,25,34,24,34,15,28,19,17,22,15,21,17,13,16,11,10,12,12,251,0.42285421,2
134,27462,297606,208,chargeInner_PXLayer_1,3,96979,80000.0,0.0,100,1.0,0.0,1,1,1,0,15,105,208,286,360,493,565,629,724,851,971,1134,1312,1572,1771,2035,2377,2542,2783,2992,3193,3473,3637,3628,3622,3688,3775,3761,3677,3351,3410,3179,3003,2767,2494,2286,2080,1887,1716,1539,1334,1220,1048,947,804,715,621,514,501,429,401,345,340,318,257,224,218,204,165,171,164,116,136,120,89,112,99,89,83,85,56,80,59,57,52,56,47,36,37,30,44,36,35,35,26,28,19,23,28,31,25,16,14,16,23,13,14,14,9,17,243,0.57828116,2
135,27463,297606,209,chargeInner_PXLayer_1,3,98696,80000.0,0.0,100,1.0,0.0,1,1,1,0,22,88,195,337,376,459,535,649,722,842,991,1194,1342,1622,1888,2096,2326,2613,2862,3083,3374,3522,3653,3732,3817,3857,3753,3623,3601,3669,3450,3261,3064,2835,2655,2270,2205,1868,1767,1530,1337,1129,1047,960,788,719,630,559,484,504,385,319,351,305,257,227,204,195,172,158,119,153,113,98,114,96,92,88,78,83,67,61,78,48,62,48,38,44,44,41,48,34,30,26,40,19,20,25,24,24,15,17,19,16,11,8,15,15,13,8,226,0.46934775,2
136,27464,297606,210,chargeInner_PXLayer_1,3,99296,80000.0,0.0,100,1.0,0.0,1,1,1,0,14,122,193,306,405,472,565,673,734,897,1018,1182,1433,1608,1901,2124,2300,2462,2821,3136,3517,3386,3540,3640,3869,3869,3748,3789,3748,3491,3476,3296,3203,2906,2654,2412,2129,1942,1715,1523,1350,1184,1045,918,778,682,646,560,511,449,394,341,316,324,275,242,241,185,173,184,161,154,117,115,109,109,120,85,76,72,69,73,52,58,57,49,41,39,41,30,37,35,39,29,31,23,19,24,17,20,21,17,16,10,20,12,13,10,11,11,237,0.5335501,2
137,27465,297606,211,chargeInner_PXLayer_1,3,96849,80000.0,0.0,100,1.0,0.0,1,1,1,0,20,108,199,324,424,489,578,599,722,871,926,1200,1356,1607,1856,2049,2374,2614,2854,2969,3227,3392,3589,3650,3789,3727,3690,3617,3629,3424,3320,3071,2955,2846,2620,2373,2092,1845,1663,1549,1254,1154,1051,871,842,684,616,531,498,442,394,295,325,275,263,214,230,191,186,181,120,125,117,119,97,113,71,67,86,84,69,56,56,52,46,39,38,47,40,35,40,33,32,30,17,32,22,26,19,20,20,12,15,18,22,12,17,14,12,10,245,0.21742216,2
138,27716,297606,121,chargeInner_PXLayer_1,3,104839,80000.0,0.0,100,1.0,0.0,1,1,1,0,25,127,235,320,412,487,544,651,774,858,1060,1240,1365,1637,1920,2201,2526,2690,3050,3335,3567,3665,3829,3885,4049,3884,4020,3813,3893,3785,3633,3490,3276,3088,2798,2607,2345,2028,1811,1671,1537,1252,1149,971,876,808,680,620,551,464,421,398,304,333,281,264,288,237,195,177,175,156,155,132,97,109,104,81,67,71,75,86,70,55,53,58,40,46,39,45,39,35,27,35,26,28,28,26,25,19,17,19,17,12,18,14,13,15,14,13,285,0.8466832,2
139,27719,297606,124,chargeInner_PXLayer_1,3,102357,80000.0,0.0,100,1.0,0.0,1,1,1,0,23,110,205,297,398,483,563,696,766,864,1016,1143,1451,1662,1862,2092,2489,2700,2950,3191,3314,3600,3769,3781,3902,3915,3875,3872,3802,3686,3644,3360,3244,2949,2655,2530,2273,1984,1777,1605,1451,1221,1159,972,909,759,668,594,560,441,419,365,338,295,296,256,242,213,193,187,170,180,133,111,97,82,83,90,92,79,73,70,68,59,42,39,36,39,34,57,46,37,32,21,23,26,28,25,11,17,26,25,21,17,19,10,11,16,8,12,256,0.81186146,2
140,865,299325,17,chargeInner_PXLayer_1,3,216230,80000.0,0.0,100,1.0,0.0,1,0,0,0,84,362,629,815,952,1111,1179,1280,1440,1595,1867,2125,2615,3031,3524,4156,4825,5558,6452,7113,7753,8166,8826,9047,9433,9362,9358,9242,8971,8554,7903,7278,6569,6001,5378,4811,4188,3594,3099,2818,2431,2096,1877,1628,1402,1264,1122,1010,843,813,690,665,617,545,492,464,420,401,367,325,338,309,269,270,264,232,186,238,203,183,160,157,138,147,135,129,132,137,105,105,106,102,86,85,64,68,63,60,44,63,50,52,29,56,41,29,44,37,43,28,707,0.19155042,2
141,2224,299325,155,chargeInner_PXLayer_1,3,210598,80000.0,0.0,100,1.0,0.0,1,0,0,0,81,342,606,755,897,952,1111,1153,1317,1521,1735,2009,2437,2932,3349,4077,4822,5601,6213,7079,7626,8129,8622,9263,9095,9286,9105,9161,8494,8195,7694,7084,6301,5705,5078,4606,4104,3636,3056,2705,2354,2146,1849,1637,1336,1187,1149,988,845,738,731,611,652,523,499,468,387,426,371,341,308,289,270,271,239,220,190,210,196,174,173,140,128,139,126,116,138,106,114,104,101,96,90,82,60,73,57,58,50,49,55,51,42,45,36,44,38,26,32,28,662,0.28239608,2
142,2226,299325,157,chargeInner_PXLayer_1,3,199367,80000.0,0.0,100,1.0,0.0,1,0,0,0,78,323,555,765,869,940,1041,1119,1240,1511,1616,1918,2316,2759,3320,3742,4503,5294,5934,6695,7265,7887,8292,8515,8626,8877,8544,8519,8194,7602,7303,6659,5990,5470,4993,4396,3818,3291,2855,2514,2242,1934,1722,1582,1345,1164,1019,942,824,717,691,586,567,477,499,444,373,368,352,321,280,258,252,247,229,198,199,206,181,162,161,131,136,125,122,124,128,113,92,86,89,69,67,62,55,63,52,53,67,41,43,61,39,42,40,32,35,31,25,29,625,0.1811434,2
143,2227,299325,158,chargeInner_PXLayer_1,3,207804,80000.0,0.0,100,1.0,0.0,1,0,0,0,77,325,574,743,840,981,1044,1178,1275,1517,1750,2010,2436,2937,3508,4037,4663,5422,6161,7046,7514,7950,8521,8848,9205,9184,9162,8877,8602,7880,7536,6928,6305,5658,5146,4600,4054,3432,2946,2676,2355,2077,1758,1494,1356,1233,1111,963,905,847,727,664,577,563,473,440,395,375,318,335,271,258,284,256,212,241,208,192,190,179,169,154,167,122,142,122,118,120,117,83,103,96,82,79,61,62,55,52,52,51,48,34,38,40,38,29,28,20,31,30,656,0.24580498,2
144,2228,299325,160,chargeInner_PXLayer_1,3,199531,80000.0,0.0,100,1.0,0.0,1,0,0,0,70,331,555,736,823,912,1068,1077,1235,1382,1551,1977,2358,2658,3298,3817,4474,5158,5810,6569,7056,7673,8261,8446,8780,8843,8815,8537,8238,7911,7248,6786,6012,5626,5036,4531,3784,3334,2966,2593,2298,1941,1704,1569,1330,1171,1091,887,850,683,688,639,547,498,449,422,377,354,331,300,277,278,242,249,234,213,181,200,172,166,153,137,134,108,135,138,122,98,95,90,82,74,81,66,55,74,69,52,41,53,37,60,41,42,30,36,28,30,27,39,628,0.62060136,2
145,2229,299325,161,chargeInner_PXLayer_1,3,210558,80000.0,0.0,100,1.0,0.0,1,0,0,0,85,337,598,736,847,1010,1050,1212,1311,1524,1689,2008,2437,2866,3495,3921,4713,5533,6243,6999,7773,8338,8673,9066,9274,9192,9164,8914,8580,8186,7785,6933,6403,5784,5226,4431,3982,3676,3224,2771,2306,2063,1815,1570,1435,1185,1141,889,858,853,734,698,566,517,495,473,414,385,368,322,307,275,283,269,236,234,209,190,204,155,172,147,129,152,135,136,125,112,102,108,75,83,86,77,70,75,69,76,53,63,49,48,46,51,31,46,30,42,32,29,671,0.34574762,2
146,2915,299325,60,chargeInner_PXLayer_1,3,194548,80000.0,0.0,100,1.0,0.0,1,0,0,0,73,327,551,746,814,949,1083,1189,1262,1389,1669,1888,2243,2799,3225,3714,4456,5035,5622,6478,7008,7446,7925,8376,8530,8512,8428,8374,7991,7470,7102,6616,5976,5333,4857,4208,3636,3333,2853,2471,2160,1921,1677,1470,1306,1125,1005,902,811,727,638,593,504,518,427,448,393,344,341,298,291,294,233,201,206,204,208,168,158,163,162,163,141,131,136,122,117,111,104,80,70,71,79,85,76,50,60,39,39,54,47,44,47,43,38,37,31,31,25,21,603,0.1783076,2
147,2916,299325,61,chargeInner_PXLayer_1,3,206600,80000.0,0.0,100,1.0,0.0,1,0,0,0,73,369,587,772,904,936,1060,1158,1325,1523,1642,2099,2361,2967,3278,4014,4622,5300,6068,6869,7462,8056,8479,9025,9161,9073,9111,8864,8488,8009,7562,6769,6235,5704,4988,4462,4021,3499,3003,2758,2333,1971,1722,1567,1364,1198,1062,961,830,734,697,612,606,510,479,430,399,389,344,307,308,262,256,230,250,226,206,190,196,189,156,164,176,144,118,133,126,96,90,101,113,78,63,74,95,56,65,60,57,56,45,51,55,37,50,37,44,31,35,31,679,0.18681748,2
148,2917,299325,62,chargeInner_PXLayer_1,3,209357,80000.0,0.0,100,1.0,0.0,1,0,0,0,86,356,624,766,892,1038,1153,1184,1358,1570,1773,2056,2495,2975,3502,4074,4823,5502,6157,6748,7454,8252,8370,8900,9222,9045,9153,8842,8547,8182,7617,7095,6290,5739,5078,4634,4126,3507,3062,2702,2385,2064,1727,1565,1424,1196,1126,968,865,724,687,651,561,551,494,421,409,423,339,366,325,310,262,267,257,223,216,218,197,164,149,171,160,156,121,120,128,109,104,107,88,88,77,77,71,67,47,70,57,51,47,47,44,29,32,36,32,29,32,27,650,0.1601831,2
149,2918,299325,63,chargeInner_PXLayer_1,3,211688,80000.0,0.0,100,1.0,0.0,1,0,0,0,80,324,637,806,902,1023,1109,1245,1335,1507,1766,2099,2429,3047,3446,4047,4901,5495,6313,6956,7561,8180,8587,9046,9437,9288,9163,8943,8601,8243,7606,7094,6503,5963,5273,4590,4079,3508,3097,2806,2486,2042,1849,1680,1371,1268,1053,1000,840,756,758,617,587,496,495,424,404,382,359,323,315,289,254,250,221,245,212,216,207,151,170,154,148,146,137,115,135,121,109,99,88,92,82,65,92,62,70,57,51,44,42,42,48,49,32,44,42,25,30,33,679,0.2370188,2
150,2919,299325,64,chargeInner_PXLayer_1,3,202671,80000.0,0.0,100,1.0,0.0,1,0,0,0,74,354,556,759,922,985,1020,1116,1344,1453,1702,1960,2261,2772,3282,3867,4540,5219,5875,6788,7370,7910,8434,8714,8915,8931,8705,8628,8274,7849,7287,6896,6123,5667,5022,4442,3926,3349,3007,2631,2349,1909,1739,1602,1339,1193,1088,954,807,717,692,647,528,491,499,439,409,372,365,312,306,255,267,274,231,216,195,199,186,166,145,136,149,154,144,155,109,118,99,97,81,78,76,82,60,53,61,61,44,52,56,49,44,52,44,47,25,30,36,34,625,0.30971977,2
151,2920,299325,95,chargeInner_PXLayer_1,3,206674,80000.0,0.0,100,1.0,0.0,1,0,0,0,65,343,575,730,863,1000,1078,1156,1327,1414,1672,2027,2403,2755,3332,3943,4640,5253,6099,6821,7593,8006,8635,8917,9059,9237,9131,8740,8542,7988,7409,6862,6281,5824,5136,4556,3908,3501,3054,2617,2368,2081,1826,1574,1333,1198,1089,960,809,760,702,637,643,488,445,461,376,387,368,315,316,287,244,234,228,231,183,188,222,180,177,165,151,124,132,119,131,100,102,77,97,85,87,86,61,76,70,49,55,63,48,53,41,37,35,28,44,30,25,29,672,0.39084053,2
152,2921,299325,98,chargeInner_PXLayer_1,3,206925,80000.0,0.0,100,1.0,0.0,1,0,0,0,77,334,585,745,915,991,1007,1147,1288,1460,1694,1968,2424,2907,3469,3944,4673,5234,6231,6755,7355,8092,8527,8726,9007,9265,9101,9090,8548,8115,7471,6921,6303,5741,5009,4530,3931,3449,3088,2721,2339,2030,1748,1520,1345,1204,1132,953,865,789,675,617,608,510,481,445,395,379,326,329,330,279,257,235,230,190,189,213,185,179,179,162,142,149,110,142,118,131,111,105,99,93,77,68,81,74,38,43,50,57,53,47,50,38,39,51,36,34,28,23,682,0.3422844,2
153,2922,299325,99,chargeInner_PXLayer_1,3,208049,80000.0,0.0,100,1.0,0.0,1,0,0,0,70,338,597,764,882,1074,1059,1155,1268,1473,1666,2067,2469,2808,3370,3836,4611,5369,6063,6786,7484,8140,8756,9010,9143,9192,9096,8849,8688,8214,7581,6829,6247,5721,5170,4561,4060,3465,3015,2696,2418,2063,1801,1601,1396,1166,1143,948,838,766,686,621,556,501,492,434,415,356,362,319,320,282,294,262,230,213,233,186,201,176,193,165,170,159,138,141,125,95,104,94,106,98,79,74,61,58,62,59,61,55,56,32,41,36,40,43,41,32,46,20,644,0.36777136,2
154,2923,299325,100,chargeInner_PXLayer_1,3,209969,80000.0,0.0,100,1.0,0.0,1,0,0,0,74,335,617,754,904,967,1067,1104,1275,1432,1747,1985,2416,2897,3418,4056,4657,5423,6130,6801,7695,8256,8692,8963,9208,9350,9137,9116,8684,8031,7777,6912,6452,5896,5278,4562,3996,3443,3054,2744,2362,2059,1732,1628,1378,1210,1125,979,957,751,720,691,599,516,530,455,413,357,354,301,299,276,316,252,245,200,213,206,211,189,161,175,141,151,118,143,118,110,112,94,113,76,95,83,78,72,60,52,52,48,49,43,43,42,49,36,46,44,26,27,683,0.48237547,2
155,2924,299325,101,chargeInner_PXLayer_1,3,204654,80000.0,0.0,100,1.0,0.0,1,0,0,0,81,352,556,760,896,927,1060,1130,1334,1430,1716,1973,2338,2817,3198,4018,4488,5231,5907,6655,7473,8002,8514,8838,8974,9054,8849,8771,8302,7959,7501,6852,6334,5729,5169,4568,3962,3539,3009,2662,2270,1972,1769,1535,1306,1195,1038,927,899,812,678,599,575,579,473,446,396,338,338,301,274,257,268,250,238,217,218,209,200,179,178,175,146,131,122,136,96,114,94,85,92,80,68,68,71,61,59,63,58,49,51,41,40,49,48,44,27,23,33,35,633,0.49242952,2
156,2925,299325,102,chargeInner_PXLayer_1,3,192188,80000.0,0.0,100,1.0,0.0,1,0,0,0,62,304,524,710,826,891,978,1008,1142,1368,1549,1917,2312,2697,3224,3659,4358,5031,5652,6378,6861,7521,7914,8277,8518,8565,8382,8196,7756,7465,7061,6521,5884,5290,4763,4203,3591,3199,2770,2448,2243,1879,1613,1475,1218,1127,937,880,839,745,612,563,534,513,431,402,359,326,326,298,293,264,265,210,211,207,185,187,172,180,158,141,149,128,128,133,145,107,112,84,77,92,79,73,63,70,65,67,45,52,53,47,39,42,37,40,33,33,32,29,566,0.27620056,2
157,3620,299325,24,chargeInner_PXLayer_1,3,206837,80000.0,0.0,100,1.0,0.0,1,0,0,0,66,355,637,860,919,1057,1089,1224,1367,1563,1743,2090,2550,2924,3364,3968,4565,5398,5911,6568,7431,8032,8479,8755,9047,9096,8907,8718,8433,8063,7603,6947,6343,5599,5114,4615,4073,3422,3114,2705,2335,1992,1838,1517,1362,1204,1050,959,825,781,692,628,562,552,486,427,391,387,352,353,267,288,309,249,237,237,240,198,156,169,176,149,150,151,137,120,110,121,113,95,82,79,87,71,68,74,71,56,46,53,39,46,40,43,29,41,45,29,32,32,695,0.1658606,2
158,3622,299325,46,chargeInner_PXLayer_1,3,79594,80000.0,0.0,100,1.0,0.0,1,0,0,0,27,151,229,298,332,350,448,499,479,550,635,795,949,1074,1379,1572,1809,2015,2293,2533,2866,3076,3307,3391,3489,3429,3405,3376,3295,3079,2900,2674,2464,2161,1927,1734,1574,1410,1206,1052,900,745,709,595,519,428,453,374,327,316,261,259,229,198,177,181,175,163,159,117,116,112,102,101,82,90,73,74,64,66,66,67,57,56,63,41,44,47,37,37,32,28,34,33,31,36,28,21,19,19,29,22,14,20,14,12,25,10,14,15,226,0.37582898,2
